CI_ID,CI_Start_Year,CI_End_Year,year,forest_loss_ha_CI_minus_control,Emissions_MgCO2e_CI_minus_control,fc_loss_pct_of_control
BOL1001,2019,2099,2021,1227.8576548899132,34154.88831540642,7550
BOL1055,2017,2022,2021,17.13502935420744,419.7767051770255,300
BOL1068,2020,2099,2021,34.34504950495034,1227.8616735333053,102.85714285714285
BOL1069,2021,2099,2021,20716.45569620253,699534.7286120823,327.27272727272725
BOL1070,2021,2099,2021,54.54801980198022,1226.55643455268,104.53020134228188
BOL1071,2016,2099,2021,121.78800000000001,8195.774710372265,157.30337078651687
BOL1073,2021,2099,2021,-606.3053159478434,-27499.303129742235,67.76978417266187
BRA1001,2018,2099,2021,-179.19805680119583,-4821.45469216389,64.67661691542288
BRA1002,2018,2099,2021,-100,-3274.9071556877084,15.254237288135593
BRA1003,2018,2099,2021,-41.994,-2971.729834454205,10
BRA1004,2018,2099,2021,-63.470000000000255,16315.232301016498,97.41298212605831
BRA1005,2018,2099,2021,-43.901999999999994,-3142.867143596097,51.35135135135136
BRA1006,2018,2099,2021,-153.72,-5777.8307552790075,16.279069767441857
BRA1007,2018,2099,2021,-515.8959537572255,-16799.179956975,6.25
BRA1008,2018,2099,2021,-107.15073529411765,-5883.322376454772,29.268292682926834
BRA1009,2018,2099,2021,6.721402214022149,106.41090500719201,110.00000000000001
BRA1010,2018,2099,2021,-201.0602409638554,-3466.108087566562,28.365384615384613
BRA1011,2018,2099,2021,113.37422771403354,5899.813664094229,327.77777777777783
BRA1012,2018,2099,2021,4363.587443946189,364813.86508283776,177.9896013864818
BRA1013,2018,2099,2021,-128.02065527065525,-5809.4752830864445,22.69503546099291
BRA1014,2018,2099,2021,-254.16666666666652,-25366.386814868994,85.71428571428572
BRA1016,2018,2099,2021,-435.12997903563934,-26010.938830437473,10.240963855421688
BRA1017,2018,2099,2021,552.7830000000001,35168.327408692465,198.71794871794876
BRA1018,2011,2099,2021,6941.183999999999,123383.31303974171,180.50314465408803
BRA1019,2020,2099,2021,-227.24799999999996,-11266.201017122046,25.333333333333336
BRA1020,2020,2099,2021,-32.310344827586206,-2279.2285245702146,62.19512195121951
BRA1021,2020,2099,2021,-7.277777777777779,-527.625545139463,80
BRA1022,2018,2099,2021,135.84000000000015,30420.693237803804,108.53485064011382
BRA1023,2018,2099,2021,11732.535652173914,680275.6230461183,540.655737704918
BRA1024,2018,2099,2021,-72.111,-2902.899789015796,54.25531914893617
BRA1025,2018,2099,2021,-610.2890995260664,-26259.074215599474,6.153846153846154
BRA1026,2018,2099,2021,253.3924198250728,16543.357389449335,131.66666666666666
BRA1027,2018,2099,2021,-104.69799999999998,2453.295217152354,72.15189873417722
BRA1028,2018,2099,2021,812.2509423801831,46205.80743959847,264.406779661017
BRA1029,2018,2099,2021,-42.7,-1721.6715285243831,62.5
BRA1030,2018,2099,2021,419.40000000000003,12395.914506018404,223.2876712328767
BRA1031,2018,2099,2021,-51.816,-2235.52541527831,60
BRA1032,2018,2099,2021,1814.5629420084863,103779.94572887426,263.5379061371841
BRA1034,2018,2099,2021,50.066006600660046,3067.0203461523524,114.59074733096084
BRA1035,2018,2099,2021,-3.423645320197044,141.8671620450685,0
BRA1036,2018,2099,2021,-67.71527777777777,-4119.700520503669,9.25925925925926
BRA1037,2018,2099,2021,-17.5,-1233.7348585691846,71.73913043478261
BRA1038,2018,2099,2021,-161.10247026532477,-8679.15184456791,30
BRA1039,2018,2099,2021,21263.280851063828,331915.42292883946,165.6135531135531
BRA1040,2018,2099,2021,-6.332129963898918,-239.14098600719342,77.77777777777779
BRA1041,2018,2099,2021,30.03,1194.845894509194,800
BRA1042,2018,2099,2021,-204.7266666666667,-7205.284255827541,71.65991902834008
BRA1043,2018,2099,2021,-10.136518771331056,-558.9461286565977,58.333333333333336
BRA1044,2018,2099,2021,2842.6666666666665,121382.11579706002,Inf
BRA1045,2018,2099,2021,0,0,NA
BRA1048,2018,2099,2021,-14.424778761061948,-915.0128050473705,37.5
BRA1052,2018,2099,2021,0,0,NA
BRA1053,2018,2099,2021,0,0,NA
BRA1054,2018,2099,2021,-47.800000000000004,2699.507542553195,0
BRA1055,2018,2099,2021,28.74418604651163,859.4613262294619,400
BRA1056,2018,2099,2021,1510.3636363636363,59202.71362623098,3891.6666666666665
BRA1059,2015,2099,2021,1.1950000000000003,-164.44193899844754,114.28571428571428
BRA1060,2015,2099,2021,-63.23076923076924,-1967.278655388076,10
BRA1061,2000,2099,2021,3.5384615384615388,208.63974258234708,200
BRA1062,2009,2099,2021,11,179.09835732048964,126.47058823529412
BRA1063,2016,2099,2021,-30.199186991869922,-1321.9904903134272,11.538461538461538
BRA1064,2006,2099,2021,-14.934782608695652,-478.56697291984403,50
BRA1067,2011,2099,2021,-4440.563999999999,-149280.88113698614,15.454545454545453
BRA1068,2011,2099,2021,-740.1459999999997,-46288.48298660197,89.49044585987261
BRA1070,2011,2099,2021,-712.8664987405541,-34893.760373483114,65.95744680851064
BRA1071,2015,2099,2021,12.44928956393926,235.0214369287787,103.125
BRA1072,2015,2099,2021,0,0,NA
BRA1073,2015,2099,2021,-88.15028901734104,-5645.329590996662,0
BRA1075,2015,2099,2021,66.97142857142858,2540.879980675907,Inf
BRA1076,2017,2099,2021,-2.857142857142857,-429.01551020408164,50
BRA1077,2017,2099,2021,23.555555555555557,4160.539896584895,300
BRA1078,2017,2099,2021,-169.76190476190482,-1181.6012311547047,67.70833333333333
BRA1080,2017,2099,2021,0,0,NA
BRA1081,2017,2099,2021,2844.3048875096974,47446.817947400246,297.9591836734694
BRA1082,2017,2099,2021,8544.688845401175,202499.476883322,233.33333333333331
BRA1083,2017,2099,2021,-96,-4177.508571428573,0
BRA1090,2017,2099,2021,-6,-98.88683928571427,14.285714285714285
BRA1091,2018,2099,2021,12146.925672113866,495477.0909133222,307.69230769230774
BRA1103,2016,2099,2021,-657.5318215069495,-8647.444335568098,21.881390593047033
BRA1104,2016,2099,2021,-621.0820000000001,7379.387414087033,24.305555555555554
BRA1109,2016,2099,2021,28.32,1042.8977930326732,150
BRA1110,2016,2099,2021,8.07692307692308,-39.62336967529245,122.22222222222223
BRA1111,2016,2099,2021,1.1666666666666667,28.67659465020595,Inf
BRA1112,2016,2099,2021,15.84,659.6987219506483,200
BRA1114,2016,2099,2021,-9.578231292517005,-453.371724157391,60.00000000000001
BRA1117,2016,2099,2021,-378.3641618497113,-3285.6968102416286,85.41666666666666
CHN1003,2015,2099,2021,-7.23076923076923,-270.5805895133146,28.57142857142857
CHN1008,2019,2099,2021,132.05882352941177,3353.577811208763,600
COL1002,2019,2099,2021,3.365313653136531,247.00500938845207,200
COL1003,2019,2099,2021,3.5,81.29044225073199,133.33333333333331
COL1004,2019,2099,2021,0,2.9554198296120404,100
COL1005,2013,2099,2021,282,14272.156451612866,Inf
