CI_ID,CI_Start_Year,CI_End_Year,c_oavoid_2021
BOL1001,2019,2099,34154.88831540642
BOL1055,2017,2022,419.7767051770255
BOL1068,2020,2099,1227.8616735333053
BOL1069,2021,2099,699534.7286120823
BOL1070,2021,2099,1226.55643455268
BOL1071,2016,2099,8195.774710372265
BOL1073,2021,2099,-27499.303129742235
BRA1001,2018,2099,-4821.45469216389
BRA1002,2018,2099,-3274.9071556877084
BRA1003,2018,2099,-2971.729834454205
BRA1004,2018,2099,16315.232301016498
BRA1005,2018,2099,-3142.867143596097
BRA1006,2018,2099,-5777.8307552790075
BRA1007,2018,2099,-16799.179956975
BRA1008,2018,2099,-5883.322376454772
BRA1009,2018,2099,106.41090500719201
BRA1010,2018,2099,-3466.108087566562
BRA1011,2018,2099,5899.813664094229
BRA1012,2018,2099,364813.86508283776
BRA1013,2018,2099,-5809.4752830864445
BRA1014,2018,2099,-25366.386814868994
BRA1016,2018,2099,-26010.938830437473
BRA1017,2018,2099,35168.327408692465
BRA1018,2011,2099,123383.31303974171
BRA1019,2020,2099,-11266.201017122046
BRA1020,2020,2099,-2279.2285245702146
BRA1021,2020,2099,-527.625545139463
BRA1022,2018,2099,30420.693237803804
BRA1023,2018,2099,680275.6230461183
BRA1024,2018,2099,-2902.899789015796
BRA1025,2018,2099,-26259.074215599474
BRA1026,2018,2099,16543.357389449335
BRA1027,2018,2099,2453.295217152354
BRA1028,2018,2099,46205.80743959847
BRA1029,2018,2099,-1721.6715285243831
BRA1030,2018,2099,12395.914506018404
BRA1031,2018,2099,-2235.52541527831
BRA1032,2018,2099,103779.94572887426
BRA1034,2018,2099,3067.0203461523524
BRA1035,2018,2099,141.8671620450685
BRA1036,2018,2099,-4119.700520503669
BRA1037,2018,2099,-1233.7348585691846
BRA1038,2018,2099,-8679.15184456791
BRA1039,2018,2099,331915.42292883946
BRA1040,2018,2099,-239.14098600719342
BRA1041,2018,2099,1194.845894509194
BRA1042,2018,2099,-7205.284255827541
BRA1043,2018,2099,-558.9461286565977
BRA1044,2018,2099,121382.11579706002
BRA1045,2018,2099,0
BRA1048,2018,2099,-915.0128050473705
BRA1052,2018,2099,0
BRA1053,2018,2099,0
BRA1054,2018,2099,2699.507542553195
BRA1055,2018,2099,859.4613262294619
BRA1056,2018,2099,59202.71362623098
BRA1059,2015,2099,-164.44193899844754
BRA1060,2015,2099,-1967.278655388076
BRA1061,2000,2099,208.63974258234708
BRA1062,2009,2099,179.09835732048964
BRA1063,2016,2099,-1321.9904903134272
BRA1064,2006,2099,-478.56697291984403
BRA1067,2011,2099,-149280.88113698614
BRA1068,2011,2099,-46288.48298660197
BRA1070,2011,2099,-34893.760373483114
BRA1071,2015,2099,235.0214369287787
BRA1072,2015,2099,0
BRA1073,2015,2099,-5645.329590996662
BRA1075,2015,2099,2540.879980675907
BRA1076,2017,2099,-429.01551020408164
BRA1077,2017,2099,4160.539896584895
BRA1078,2017,2099,-1181.6012311547047
BRA1080,2017,2099,0
BRA1081,2017,2099,47446.817947400246
BRA1082,2017,2099,202499.476883322
BRA1083,2017,2099,-4177.508571428573
BRA1090,2017,2099,-98.88683928571427
BRA1091,2018,2099,495477.0909133222
BRA1103,2016,2099,-8647.444335568098
BRA1104,2016,2099,7379.387414087033
BRA1109,2016,2099,1042.8977930326732
BRA1110,2016,2099,-39.62336967529245
BRA1111,2016,2099,28.67659465020595
BRA1112,2016,2099,659.6987219506483
BRA1114,2016,2099,-453.371724157391
BRA1117,2016,2099,-3285.6968102416286
CHN1003,2015,2099,-270.5805895133146
CHN1008,2019,2099,3353.577811208763
COL1002,2019,2099,247.00500938845207
COL1003,2019,2099,81.29044225073199
COL1004,2019,2099,2.9554198296120404
COL1005,2013,2099,14272.156451612866
COL1007,2018,2099,-86.82171428571411
COL1009,2013,2099,868.518881800642
COL1010,2018,2099,2690.134606617794
COL1076,2016,2099,211.88188284833808
COL1080,2016,2099,0
COL1082,2016,2099,202.7453186813171
CRI1001,2018,2099,84.01080701754367
CRI1006,2011,2099,-607.9537877500521
CRI1009,2019,2099,0
CRI1010,2018,2099,-87.19849753569552
CRI1012,2009,2099,-2016.1906606178413
ECU1014,2018,2099,-121.85503759398503
ECU1015,2008,2099,0
ECU1017,2016,2099,0
ECU1021,2018,2099,218.2522262299717
ECU1022,2016,2099,-119.92927031509186
ECU1023,2006,2099,-146.63485000000003
ECU1024,2018,2099,-3015.413635143725
