CI_ID,Data_Year,year,treatment,CI_Start_Year,CI_End_Year,forest_loss_ha,Emissions_MgCO2e,n_pixels
BOL1001,2024,2019,FALSE,2019,2099,-1379.852955068184,26689.878183888766,993
BOL1001,2024,2019,TRUE,2019,2099,-9590.525620439983,221735.1202325784,993
BOL1001,2024,2020,FALSE,2019,2099,-3462.1969973772566,78399.53707947618,993
BOL1001,2024,2020,TRUE,2019,2099,-9656.257149900031,237505.06135805856,993
BOL1001,2024,2021,FALSE,2019,2099,-101.05934668534638,565.0922448486964,993
BOL1001,2024,2021,TRUE,2019,2099,-10045.184244577458,221258.09891953404,993
BOL1001,2024,2022,FALSE,2019,2099,-5880.974523083263,157808.8749028339,993
BOL1001,2024,2022,TRUE,2019,2099,-6854.049760335328,175178.4562768779,993
BOL1001,2024,2023,FALSE,2019,2099,-6368.388688415881,179601.26706438555,993
BOL1001,2024,2023,TRUE,2019,2099,-12897.143291198654,297589.9704471803,993
BOL1051,2024,2021,FALSE,2021,2099,-174.1840785435268,5192.17257212821,35
BOL1051,2024,2021,TRUE,2021,2099,0,0,35
BOL1051,2024,2022,FALSE,2021,2099,-10042.726413835797,343821.01890926843,35
BOL1051,2024,2022,TRUE,2021,2099,0,0,35
BOL1051,2024,2023,FALSE,2021,2099,-5481.917175292969,160069.2259651608,35
BOL1051,2024,2023,TRUE,2021,2099,0,0,35
BOL1054,2024,2000,FALSE,1992,2099,0,0,55
BOL1054,2024,2000,TRUE,1992,2099,0,0,55
BOL1054,2024,2001,FALSE,1992,2099,-91.34965724854673,3440.773230825868,55
BOL1054,2024,2001,TRUE,1992,2099,-836.0316201521888,29533.297707650596,55
BOL1054,2024,2002,FALSE,1992,2099,-20.439765532434837,516.2168817582582,55
BOL1054,2024,2002,TRUE,1992,2099,-152.8464569525696,4101.23835697427,55
BOL1054,2024,2003,FALSE,1992,2099,-17.987000524150254,388.2312512839462,55
BOL1054,2024,2003,TRUE,1992,2099,-132.40663429007148,3525.097305301828,55
BOL1054,2024,2004,FALSE,1992,2099,-95.15589058681688,2403.2113793922354,55
BOL1054,2024,2004,TRUE,1992,2099,-516.0401225880989,18318.108378914454,55
BOL1054,2024,2005,FALSE,1992,2099,-1895.1691917672542,56071.56630063934,55
BOL1054,2024,2005,TRUE,1992,2099,-541.6924922274187,19002.38340259324,55
BOL1054,2024,2006,FALSE,1992,2099,0,0,55
BOL1054,2024,2006,TRUE,1992,2099,-320.6838853664308,11893.318470805265,55
BOL1054,2024,2007,FALSE,1992,2099,-2205.8516740120986,60482.12023059602,55
