country,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
Bolivia,399037.0534631014,596492.3347167969,1130047.8946914673,0.6138472466427108,11293.695434570313
Brazil,15911105.56667428,21773323.547335856,34081407.033652246,31.921403433182988,36431.00323712826
Cambodia,397520.38620311883,616633.458184503,896032.1515654624,47.215236445195075,289.4457473754883
China,13214.224122226238,15803.220024257898,26944.112269550562,1.8137049081542314,3679.668710887432
Colombia,122238.41549651355,63467.769545378746,85756.89217490586,40.41312594895143,6339.606593579054
Costa Rica,32059.648116127122,19975.949749164283,22295.89533835277,-8.60084205665953,0
Ecuador,874224.4094826807,869923.3887480386,1160221.646257121,4.709004109260097,31965.481866706163
Fiji,126.4054099267305,173.684100151062,268.4755877107382,1.8203591980841316,0
Guyana,422961.82558533177,618213.3102343455,792583.0576560646,8.913438789798185,404.5217590332031
Indonesia,3945336.863963831,3392032.8033244694,3781909.967774243,38.87033512800098,60190.44094249606
Kenya,200707.3858718872,270037.1363372803,509311.09647369385,0.5111718487225257,0
Liberia,43509.92538314266,41502.126941502094,91104.44650257379,0.6897182267609087,17091.696024417877
Madagascar,271346.7406307062,345557.6531139463,604090.5271578357,-3.06803349810745,16453.14711856842
Mexico,85773.92050401377,57917.535608142614,302027.629868865,3.2154965987917565,7496.9623737335205
New Caledonia,249321.94666628586,336431.9887964148,348728.41422671266,-0.9980302685061124,176773.17380868178
Panama,65421.95468951389,46503.21705732122,72372.99616632238,0.6307796888903798,703.4198441617191
Peru,603969.2844936624,839171.8787309453,1068744.6611474678,1.4703079856502077,0
Philippines,31322.22993803583,35790.30001233332,144930.06113694422,9.501944378768949,198.30802898434922
Samoa,233.07973647117615,301.32835578918457,1141.0357683040202,0.05552938540186168,98.38301181793213
South Africa,776.8065807419334,880.3189730644226,6427.891096115112,1.1953190354245846,0
Suriname,1275352.5573017,1675937.6095415652,1885930.8768755496,0.9582660318477676,62.910667419433594
Timor-Leste,827.7498315547127,1136.390667438507,3473.2597794532776,0.6954814715206478,0
US-Hawaii,34.48046715371311,54.95099878311157,113.14686900377274,0.514675862605575,0
