ci_sls_1,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
Abrolhos Seascape,Grassland,16265.98675379157,11413.621084213257,13934.627443313599,-0.0030225024580874393,0
Abrolhos Seascape,Mangroves,478.691593170166,283.92059326171875,283.92059326171875,0.004759652219491013,478.691593170166
Abrolhos Seascape,Primary forest,1696.217088699341,979.2670941938559,1633.8976860046387,0.021579438179449534,0
Abrolhos Seascape,Secondary forest,12917.433143192902,7502.649303436279,9622.4478759765625,0.1369372433066163,0
Abrolhos Seascape,Wetlands,4959.100926399231,4138.8550090789795,4513.0595989227295,0.05568095852004008,0
Alto Mayo Landscape,Grassland,3590.799981236458,5288.871765136719,19690.123916625977,0.024082920194306,0
Alto Mayo Landscape,Primary forest,156672.50147473812,250095.5786628723,310028.11772060394,0.6776232294621823,0
Alto Mayo Landscape,Secondary forest,29623.587579466403,43869.95002382249,96487.36317478865,-1.0183990552587803,0
Birds Head Seascape,Grassland,7115.383467257023,4174.447592258453,4839.231533527374,0.2747383675385886,0
Birds Head Seascape,Mangroves,3339.8715929985046,4023.1233806610107,4086.3077068328857,0.010680957390559404,3339.8715929985046
Birds Head Seascape,Primary forest,161457.66524076462,68248.63758468628,72225.41370773315,9.618427685298093,0
Birds Head Seascape,Salt marsh,4113.9921875,5465.7451171875,5525.86474609375,0.01163920585242109,4113.9921875
Birds Head Seascape,Seagrass,27919.03515625,49556.89453125,49556.89453125,0.07898784989721747,27919.03515625
Birds Head Seascape,Secondary forest,35757.41839528084,17783.852370262146,19785.52823162079,1.1125426120017847,0
Birds Head Seascape,Wetlands,3546.8811769485474,3338.583749771118,3548.634614944458,0.04831432704107259,0
Bogota Conservation Corridor,Grassland,71.28599124308676,97.02047564089298,412.52459255605936,4.781081930659423,0
Cardamom-Tonle Sap Landscape,Grassland,3714.1991307735443,4385.423000685871,7237.4273582696915,3.189039871686806,0
Cardamom-Tonle Sap Landscape,Mangroves,133.86691284179687,104.0514678955078,201.3679656982422,3.337281627114182e-4,133.86691284179687
Cardamom-Tonle Sap Landscape,Primary forest,115518.96383285522,204845.1100769043,341076.2507019043,0.3002603372351653,0
Cardamom-Tonle Sap Landscape,Salt marsh,86.14282989501953,97.3165054321289,97.3165054321289,2.14752755115834e-4,86.14282989501953
Cardamom-Tonle Sap Landscape,Secondary forest,10263.774939537048,15991.549194335938,24986.794019699097,0.27047171454713076,0
Cardamom-Tonle Sap Landscape,Wetlands,31609.694642543793,28594.503576040268,30035.84801697731,24.2340920847708,0
CAZ + COFAV Corridors,Grassland,4626.9745265077945,5345.958323717117,13295.2705520764,0.8587300293547501,0
CAZ + COFAV Corridors,Primary forest,119127.89826392382,182081.7954597026,353996.78294283897,-4.01065314984181,0
CAZ + COFAV Corridors,Secondary forest,41248.54980425851,61190.51988783479,119946.81108457595,-0.7531928227805675,0
CAZ + COFAV Corridors,Wetlands,5.6197829246521,0,47.25737762451172,1.5223371857497288e-5,0
Chiapas + Oaxaca Landscape,Grassland,18204.70005182922,11408.275527954102,15377.345687866211,0.99122474427267,0
Chiapas + Oaxaca Landscape,Mangroves,7254.551118850708,4419.505420774221,4687.962749481201,0.3921935591768195,7254.551118850708
Chiapas + Oaxaca Landscape,Primary forest,4051.5647111684084,2459.381092071533,6527.757411122322,0.18743890670890873,0
Chiapas + Oaxaca Landscape,Salt marsh,242.4112548828125,215.188232421875,215.188232421875,0.00975035013083576,242.4112548828125
Chiapas + Oaxaca Landscape,Secondary forest,14910.87739159097,6506.465825796127,24075.197958230972,0.782823194898573,0
Chiapas + Oaxaca Landscape,Wetlands,13914.095913912635,8971.584545135498,9662.764560699463,0.7903687355289589,0
Eastern Tropical Pacific Seascape,Grassland,121633.09112292528,70554.41403346881,112282.1833907254,1.110460993999113,0
Eastern Tropical Pacific Seascape,Mangroves,35703.57317911461,16907.947078282014,18086.311290318146,0.8578711896431521,35703.57317911461
Eastern Tropical Pacific Seascape,Peatland,201.6366271972656,99.23896026611328,99.23896026611328,0.00674862708115208,0
Eastern Tropical Pacific Seascape,Primary forest,72885.91294861957,46590.52823334932,84376.22384215705,0.1868794091819863,0
Eastern Tropical Pacific Seascape,Salt marsh,2217.121883880347,1250.8922425247729,1250.8922425247729,0.22361528425852323,2217.121883880347
Eastern Tropical Pacific Seascape,Seagrass,418.1987533569336,262.87095642089844,262.87095642089844,0.10793443180083973,418.1987533569336
Eastern Tropical Pacific Seascape,Secondary forest,155855.76229812682,86938.8615152277,113110.55625332636,-5.68555041381211,0
Eastern Tropical Pacific Seascape,Wetlands,94380.04522519186,66887.43177800067,80840.06819150224,1.0198260603196776,0
Lau Seascape,Grassland,44.33534526824951,94.60867691040039,94.60867691040039,0.19362673420651466,0
Lau Seascape,Primary forest,15.83035135269165,3.7466421127319336,3.7466421127319336,0.2716190319981916,0
Lau Seascape,Secondary forest,33.44392395019531,61.53861618041992,61.53861618041992,0.1404085979688287,0
Lau Seascape,Wetlands,2.69783091545105,0,0,0.01132638194488034,0
North Kenya Landscape,Grassland,129740.359375,172173.75,243509.890625,0.3378484420227613,0
North Kenya Landscape,Primary forest,93.65293884277344,99.3086929321289,99.3086929321289,2.4387553442356845e-4,0
North Kenya Landscape,Secondary forest,2903.239990234375,2652.146240234375,9195.005859375,0.00756013866651785,0
North Kenya Landscape,Wetlands,43.812644958496094,42.245216369628906,280.06390380859375,1.1408966270349744e-4,0
North Sumatra Landscape,Grassland,5456.004788858816,9076.403755187988,15406.537239074707,0.22608635323317744,0
North Sumatra Landscape,Mangroves,704.1819152832031,496.51686096191406,496.51686096191406,0.02912323821896816,704.1819152832031
North Sumatra Landscape,Peatland,146.14190673828125,99.30534362792967,198.60821533203125,0.00502915996292638,0
North Sumatra Landscape,Primary forest,114334.28342080116,187387.39416980743,243085.64167690277,1.5292845016223748,0
North Sumatra Landscape,Salt marsh,354.04302978515625,297.90895080566406,297.90895080566406,0.01412614493623166,354.04302978515625
North Sumatra Landscape,Seagrass,540.4020094871521,496.5221860408783,595.8243100643158,0.019955864416566292,540.4020094871521
North Sumatra Landscape,Secondary forest,31901.728641986847,54234.920754909515,92620.06855401397,1.0023560387612356,0
North Sumatra Landscape,Wetlands,250.6401725411415,99.3039436340332,99.3039436340332,0.010027449456104521,0
Not Applicable,Grassland,260262.05055523408,353644.5969389649,1188460.3960246863,0.7035568788929952,0
Not Applicable,Mangroves,14675.758612632751,13378.94593667984,14362.898451328278,0.018616723100429652,14675.758612632751
Not Applicable,Peatland,185.03005981445312,160.27162170410156,160.27162170410156,5.283936770143708e-5,0
Not Applicable,Primary forest,3572919.097088311,4700037.802513209,5933908.975892842,7.07912699871215,0
Not Applicable,Salt marsh,929.5509204864502,985.8285102844238,1032.8943901062012,0.021218451928921786,929.5509204864502
Not Applicable,Seagrass,1159.27281665802,961.6160879135132,961.6160879135132,0.00629668563379148,1159.27281665802
Not Applicable,Secondary forest,412237.5734588634,560330.6632778645,1362818.750275705,2.4729538495274355,0
Not Applicable,Wetlands,45157.97839105129,55597.80894327164,69561.62517666817,1.5396842991951902,0
NW Liberia Landscape,Grassland,2786.8143997602165,2287.997304916382,3307.2861175239086,0.03416296090591002,0
NW Liberia Landscape,Mangroves,6141.040529251099,4785.018772125244,5338.429859161377,0.06585916207621763,6141.040529251099
NW Liberia Landscape,Peatland,618.28369140625,493.3093566894531,493.3093566894531,0.00645093452756065,0
NW Liberia Landscape,Primary forest,6001.292330767494,7294.453422546387,34848.6093884483,0.12924385610541736,0
NW Liberia Landscape,Salt marsh,4196.023093223572,2998.42919921875,3393.048095703125,0.04565434277596457,4196.023093223572
NW Liberia Landscape,Seagrass,1854.040692806244,1362.9730892181396,1362.9730892181396,0.02382871295942809,1854.040692806244
NW Liberia Landscape,Secondary forest,3701.3778657764196,3570.5938510894775,16538.111310958862,0.08778744684380618,0
NW Liberia Landscape,Wetlands,3125.5881843566895,2662.4954889416695,3662.1724374890327,0.047246665817881464,0
Rupununi Landscape,Grassland,16404.52958026156,18896.03470776975,42418.2142483294,0.41464953138700034,0
Rupununi Landscape,Primary forest,312867.6650069952,472715.16351637244,581677.2178601027,3.6760798166172877,0
Rupununi Landscape,Secondary forest,29087.16006797552,36749.707487784326,50340.311696752906,0.4020473628319159,0
Rupununi Landscape,Wetlands,7096.654960632324,12387.028686523438,15652.49545288086,0.22226746067888248,0
Site is outside of a current CI SLS,Grassland,280903.9506522663,285185.16797769815,488834.24580408307,10.611894169584243,0
Site is outside of a current CI SLS,Mangroves,78305.61956103425,65089.16235685535,71897.57099485584,1.4590507851368204,78305.61956103425
Site is outside of a current CI SLS,Peatland,6231.690078735352,5339.406768798828,6266.368927001953,0.10218800536396555,0
Site is outside of a current CI SLS,Primary forest,13785453.932571441,19060830.38242566,29241279.951668795,46.2650517141871,0
Site is outside of a current CI SLS,Salt marsh,20330.88356500864,24443.048956610262,26629.82522843033,0.0033627605293049534,20330.88356500864
Site is outside of a current CI SLS,Seagrass,134962.87691569328,231875.21989953518,233031.37357842922,-0.10471417575465075,134962.87691569328
Site is outside of a current CI SLS,Secondary forest,916620.0325939074,1163610.7475209925,2000672.7570098457,30.76501560545464,0
Site is outside of a current CI SLS,Wetlands,212675.0302380547,232395.3899967447,280897.03031817824,3.8016915459977927,0
South Africa Rangeland Landscape,Grassland,749.179955316009,880.3189730644226,6243.99738073349,1.13861191095205,0
South Africa Rangeland Landscape,Primary forest,0.03115260042250156,0,4.796382427215576,6.692065124040244e-7,0
South Africa Rangeland Landscape,Secondary forest,27.59547282550193,0,179.09733295440674,0.056706455266022346,0
Verde Island Passage,Grassland,150.24161393847317,178.99482345581055,212.8428635597229,3.7494817590544227,0
Verde Island Passage,Mangroves,116.0287735760212,147.92678195238113,147.92678195238113,1.17209837720821,116.0287735760212
Verde Island Passage,Primary forest,30.567815327551216,42.31035614013672,74.94099617004395,0.012453228356692322,0
Verde Island Passage,Salt marsh,1.7422309103421867,3.1919761430472136,3.1919761430472136,0.052812115077742416,1.7422309103421867
Verde Island Passage,Seagrass,80.53702449798584,151.16288805007935,151.16288805007935,2.5077894657330746,80.53702449798584
Verde Island Passage,Secondary forest,59.23938466096297,56.69773292541504,148.45595359802246,0.7045877477322802,0
Verde Island Passage,Wetlands,79.48040376603603,82.22716954350471,98.32309439778328,0.9892676441320057,0
West Papua Landscape,Grassland,150073.39485379867,49056.43463945389,50745.13829660416,1.2160936093589498,0
West Papua Landscape,Mangroves,12207.840320587158,5515.390368461609,5636.20765209198,0.10047914824782675,12207.840320587158
West Papua Landscape,Peatland,3529.798828125,1649.6303100585937,1649.6303100585937,0.023514826195941682,0
West Papua Landscape,Primary forest,2624427.793031454,2498396.1728351116,2737998.875001967,25.631884653959087,0
West Papua Landscape,Salt marsh,6589.2825492322445,3078.527425020933,3078.527425020933,0.047794694284330495,6589.2825492322445
West Papua Landscape,Seagrass,4427.835359573364,2271.169463276863,2271.169463276863,0.0633962576389708,4427.835359573364
West Papua Landscape,Secondary forest,701592.1945936084,399276.93366369605,435676.2457524538,6.267303871764838,0
West Papua Landscape,Wetlands,38805.52795445919,13619.441616415977,13956.683956503868,0.3157007124895697,0
