ci_sls_1,area_ha,rest_area,population,tstor_woody,tstor_soil,tstor_total,carbon_seq_potl
Abrolhos Seascape,443167.3975124873,19.85,8014.778308391571,19700993.966308594,11742749.314331055,31443743.28063965,41.85830873548519
Alto Mayo Landscape,548557.734271136,513.69,138685.18671827018,113279453.52467346,81492317.90536499,194771771.43003845,0
Birds Head Seascape,2843363.458084952,0,6180.917073285673,33196168.33224678,42452898.0590477,75649066.39129448,0
Bogota Conservation Corridor,692.04,692.04,2029.2364465743303,28594.39863872528,134439.87371826172,163034.272356987,761.8804486123747
Cardamom-Tonle Sap Landscape,451360.11899674626,255.10999999999999,14291.775059431791,137488440.59249878,42220591.23352051,179709031.8260193,0
CAZ + COFAV Corridors,723251.9852781814,47.85,171551.21189257503,168025997.31706142,86320959.69438124,254346957.01144266,81.98725559608322
Chiapas + Oaxaca Landscape,273204.7916937895,0,73845.83022093773,41109855.22796631,23198055.980010986,64307911.207977295,0
Eastern Tropical Pacific Seascape,18737910.98936303,328.28,458849.580122225,109059744.03469038,196109404.9462738,305169148.9809642,379.7499838432264
Lau Seascape,3878.81,0,306.86592823266983,15325.490144729614,166917.17919921875,182242.66934394836,0
North Kenya Landscape,384019.41,0,27178.939453125,10333871,17820834,28154705,0
North Sumatra Landscape,502962.93,175.44,333954.07518851757,166088740.2783203,83918804.04797363,250007544.32629395,559.7668027144176
Not Applicable,18317075.96487034,440451.42091748014,886448.2295047108,3459375741.6098433,1240876195.2958927,4700251936.905736,832724.1399462894
NW Liberia Landscape,416284.7818309658,0,114835.10920357704,65058364.27734375,26676986.79660034,91735351.07394409,0
Rupununi Landscape,1024632.4043698715,0,4705.137550441083,270074300.8266754,63953191.43096161,334027492.257637,0
Site is outside of a current CI SLS,183124272.62348193,62132.92253542242,592788.4984125504,12899468990.21822,2575618241.3954964,15475087231.613716,129554.3558547576
South Africa Rangeland Landscape,273152.2208093272,273152.2208093272,18383.429060613737,789517.2018680573,7255336.0005989075,8044853.202466965,77574.08908679732
Verde Island Passage,25839.794018856493,0,12409.811892703176,142475.13067467138,823267.7922210693,965742.9228957407,0
West Papua Landscape,3366816.993016287,0,178015.02712190803,1485622432.2915573,642673819.587204,2128296251.8787613,0
