ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,area_ha,rest_area,population,tstor_woody,tstor_soil,tstor_total,carbon_seq_potl
FJI1001,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,10.33,10.33,0.6402553915977478,1485.0045166015625,996.8290405273436,2481.8335571289062,132.77176255654342
FJI1002,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,10.88,10.88,0.8033319711685181,2003.697509765625,1141.5986328125,3145.296142578125,139.78375320010932
FJI1003,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,7.34,7.34,2.5012991428375244,918.7197265625,664.38641357421875,1583.1061401367187,94.28884721294158
FJI1004,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,23.91,23.91,1.7411987781524658,4271.26904296875,2567.87060546875,6839.1396484375,307.1414397324021
FJI1005,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,113.99,113.99,25.77082061767578,15104.0537109375,10989.6953125,26093.7490234375,1463.5934161996286
FJI1006,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,9.73,9.73,2.0327610969543457,1728.8935546875,928.07757568359375,2656.9711303710937,124.97690717714114
FJI1007,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,15.77,15.77,0.6262699365615845,2905.099609375,1890.5343017578125,4795.6339111328125,202.60024044377604
FJI1008,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,9.53,9.53,0.3851090967655182,2026.425537109375,1131.6617431640625,3158.0872802734375,122.4320485128237
FJI1009,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,5.08,5.08,0.1914702355861664,1114.49462890625,552.38983154296875,1666.8844604492187,65.30004268825094
FJI1010,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,101.13,101.13,11.86551284790039,22771.498046875,10736.7490234375,33508.2470703125,1299.2271178151154
FJI1011,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,38.06,38.06,2.043095111846924,8297.3349609375,4764.3447265625,13061.6796875,488.94207986590146
FJI1012,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,12.75,12.75,0.6975704431533813,1847.0364990234375,1437.341552734375,3284.3780517578125,163.80205385915062
FJI1013,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,28.94,28.94,2.7966015338897705,5406.23291015625,3352.270263671875,8758.503173828125,371.7484196105582
FJI1014,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,9.55,9.55,0.5076189637184143,1932.4532470703125,991.27484130859375,2923.7280883789062,122.71519842827998
FJI1015,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,11.77,11.77,0.824542760848999,1808.117431640625,1344.3773193359375,3152.4947509765625,151.1568840601671
FJI1016,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,16.21,16.21,1.7687931060791016,2738.95166015625,1924.6998291015625,4663.6514892578125,208.2885683844303
FJI1017,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,23.82,23.82,4.725368022918701,5390.34228515625,2441.422607421875,7831.764892578125,306.06129054964447
FJI1018,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,13.26,13.26,1.0033609867095947,2753.331787109375,1482.43798828125,4235.769775390625,170.40015878282452
FJI1019,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,14.44,14.44,1.233532428741455,2898.130859375,1682.6717529296875,4580.8026123046875,185.54940263543205
FJI1020,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,21.09,21.09,3.919734954833984,4451.76806640625,2424.46875,6876.23681640625,270.9792227033815
FJI1021,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,4.19,4.19,0.30329757928848267,903.9140014648436,444.45745849609375,1348.3714599609375,53.832430924732826
FJI1022,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,19.51,19.51,1.0669292211532593,3217.679443359375,2106.327392578125,5324.0068359375,250.7087430096521
FJI1023,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,12.8,12.8,1.5669786930084229,2821.69091796875,1405.7169189453125,4227.4078369140625,164.40344315241657
FJI1024,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,73.89,73.89,3.3587260246276855,15290.62890625,8298.0126953125,23588.6416015625,949.2351752931986
FJI1025,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,71.9,71.9,3.693955659866333,15743.412109375,9346.177734375,25089.58984375,923.6539468080388
FJI1026,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,28.57,28.57,11.039884567260742,5369.90185546875,3199.042724609375,8568.944580078125,367.0173358771933
FJI1027,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,22.12,22.12,1.806159734725952,4184.53955078125,2692.689697265625,6877.229248046875,284.09707833243755
FJI1028,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,22.07,22.07,1.020549774169922,5050.4423828125,2509.88818359375,7560.33056640625,283.59218506064343
FJI1029,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,30.84,30.84,4.493415832519531,6178.0517578125,3347.586669921875,9525.638427734377,396.2275909632971
FJI1030,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,5.34,5.34,1.0906914472579956,899.6412353515625,554.27337646484375,1453.9146118164062,68.50974102834901
FJI1031,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,1.02,1.02,2.4282333850860596,176.61463928222656,90.9438247680664,267.55846405029297,13.09453824500039
FJI1032,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,1.88,1.88,0.33301442861557007,336.9042053222656,180.7694854736328,517.6736907958984,24.10709789631548
FJI1033,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,3.24,3.24,3.3415331840515137,567.917724609375,274.7355651855469,842.6532897949219,41.64885232460491
FJI1034,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,9.54,9.54,4.857058525085449,2085.616943359375,860.71734619140625,2946.3342895507812,122.4932369110178
FJI1035,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,7.93,7.93,1.9106720685958865,1153.08935546875,810.912353515625,1964.001708984375,101.82053736577043
FJI1036,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,10.46,10.46,3.1080214977264404,1649.4996337890625,997.1180419921876,2646.61767578125,134.36689782438336
FJI1037,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,1.23,1.23,0.45318278670310974,92.76923370361328,108.31053924560548,201.07977294921875,15.815481480626843
FJI1038,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,2.23,2.23,0.5174715518951416,278.9596862792969,198.0434112548828,477.0030975341797,28.66453988661593
FJI1039,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,1.95,1.95,0.4188814163208008,152.63851928710935,167.1657257080078,319.8042449951172,24.982336560369436
FJI1040,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,8.4,8.4,0.31461429595947266,2184.64013671875,906.90643310546875,3091.5465698242187,107.84853038343316
FJI1041,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,1.09,1.09,0.1275544315576553,283.30377197265625,118.5431671142578,401.84693908691406,14.04906835815908
FJI1042,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,7.79,7.79,0.7033525109291077,1894.144775390625,843.4473266601564,2737.5921020507812,99.97070495986677
FJI1043,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,14.78,14.78,3.4228222370147705,2097.936767578125,1519.3704833984375,3617.3072509765625,189.79427456141659
FJI1044,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,19.1,19.1,3.121091842651367,1989.51806640625,1708.8843994140625,3698.402465820313,245.21324636178664
FJI1045,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,9.4,9.4,4.460594177246094,2267.6328125,1114.0072021484375,3381.6400146484375,120.7608439753204
FJI1046,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,11.52,11.52,1.9096795320510864,1749.43212890625,1228.1689453125,2977.60107421875,147.93736847847478
FJI1047,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,5.5,5.5,1.1256775856018066,615.02056884765625,554.71307373046875,1169.733642578125,70.64419880648659
FJI1048,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,9.39,9.39,1.6837958097457886,1604.92626953125,971.5761108398436,2576.5023803710938,120.57534977888098
FJI1049,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,21.06,21.06,4.8983635902404785,1914.4947509765625,1914.829833984375,3829.3245849609375,270.4675779250874
FJI1050,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,2.52,2.52,0.3953980803489685,137.4370574951172,243.92396545410156,381.3610229492187,32.31967116447771
FJI1051,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,2.48,2.48,0.5892358422279358,338.1988525390625,220.3986968994141,558.5975494384766,31.782914915579298
FJI1052,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,4.67,4.67,0.727033257484436,834.25665283203125,502.3253173828125,1336.5819702148435,59.957488330485965
FJI1053,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,4.56,4.56,0.9483512043952942,344.4476318359375,392.0221557617187,736.4697875976564,58.58634692115053
FJI1054,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,5.62,5.62,1.7687602043151855,1399.1143798828125,558.570068359375,1957.6844482421875,72.19248688636783
FJI1055,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,4.2,4.2,0.668327271938324,1015.1148681640624,449.2583312988281,1464.3731994628906,53.96905707412513
FJI1056,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,4.27,4.27,0.49481648206710815,397.8117980957031,410.8216247558594,808.6334228515625,54.78644864677322
FJI1057,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,35.68,35.68,9.598625183105469,4881.041015625,3500.512451171875,8381.553466796875,458.1495610064925
FJI1058,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,5.76,5.76,0.8965572714805603,1154.731689453125,619.45367431640625,1774.1853637695312,73.93791206675469
FJI1059,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,36.75,36.75,7.669767379760742,3938.498046875,3293.683349609375,7232.181396484375,471.97315574356173
FJI1060,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,33.66,33.66,7.256867408752441,2702.48779296875,3127.628173828125,5830.115966796875,432.27163366426106
FJI1061,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,33.23,33.23,16.357824325561523,4319.43310546875,2913.91357421875,7233.3466796875,426.74407884267487
FJI1062,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,24.1,24.1,5.582417964935303,2587.0595703125,2150.058349609375,4737.117919921875,309.490320993759
FJI1063,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,10.17,10.17,3.4971237182617187,1364.5487060546875,859.58648681640625,2224.1351928710937,130.5278741105528
FJI1064,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,15.96,15.96,5.981612682342529,3145.3779296875,1788.75244140625,4934.13037109375,205.04867197954516
FJI1065,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,15.51,15.51,1.8954107761383057,2758.663330078125,1760.1029052734375,4518.7662353515625,199.30426519918737
FJI1066,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,19.05,19.05,6.265235900878906,801.8379516601564,1779.12353515625,2580.9614868164062,244.5905002622454
FJI1067,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,6.77,6.77,2.426391124725342,502.60888671875,631.2603759765625,1133.8692626953125,86.89845070507003
FJI1068,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,32.79,32.79,4.728251934051514,8378.748046875,3656.7099609375,12035.4580078125,421.0442457838014
FJI1069,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,26.69,26.69,6.047657489776611,2523.150634765625,2322.98486328125,4846.135498046875,342.7482879410338
FJI1070,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,5.29,5.29,0.4717911779880524,978.7198486328124,621.86712646484375,1600.5869750976562,67.94057065895858
FJI1071,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,9.28,9.28,0.8874117136001587,1280.5047607421875,878.15850830078125,2158.6632690429687,119.20675740771388
FJI1072,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,8.15,8.15,2.782424211502075,1001.783447265625,737.44769287109375,1739.2311401367187,104.63146050052394
FJI1073,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,5.52,5.52,2.648054599761963,757.23016357421875,476.4111633300781,1233.6413269042969,70.84852373534079
FJI1074,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,0.41,0.41,0.11558643728494644,103.05648040771484,63.81722259521485,166.8737030029297,1.665474499813259
FJI1075,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,0.18,0.18,0.02092842198908329,49.19075775146485,22.041683197021484,71.23244094848633,0.7178138534654338
